"Fx"	"z"	"Lx"
1.34447765714323e-12	0.055	9.70073843260603e+42
1.22912343476958e-12	0.055	8.86842922136839e+42
1.3751913959616e-12	0.055	9.9223456456239e+42
1.44838420914133e-12	0.055	1.04504498740808e+43
1.34359099111443e-12	0.055	9.69434091816853e+42
1.517854668474e-12	0.055	1.09516963999704e+43
1.55059615642423e-12	0.055	1.11879343239047e+43
1.63091165009307e-12	0.055	1.17674304516593e+43
2.15363945973337e-12	0.055	1.55390407315535e+43
2.03324097834391e-12	0.055	1.46703359453961e+43
2.20127927421654e-12	0.055	1.58827737618674e+43
2.27541623102976e-12	0.055	1.64176902198787e+43
2.78809319629188e-12	0.055	2.01167811746496e+43
2.84493111398055e-12	0.055	2.0526880791867e+43
2.68722654241519e-12	0.055	1.93890033490894e+43
3.09339585394944e-12	0.055	2.23196152708357e+43
3.02632076695149e-12	0.055	2.18356519480877e+43
3.53470892190118e-12	0.055	2.55037980769577e+43
4.59258203720063e-12	0.055	3.31366139381087e+43
5.39174651862386e-12	0.055	3.89027830951244e+43
6.99002626083353e-12	0.055	5.04347662701019e+43
7.27550179949941e-12	0.055	5.24945428047223e+43
7.55927397716855e-14	0.065	7.72679641992066e+41
6.79599852184811e-14	0.065	6.94660587868665e+41
6.73952101599872e-14	0.065	6.88887676457846e+41
7.02476108327711e-14	0.065	7.180438088764e+41
7.58541965337775e-14	0.065	7.75352151520625e+41
8.41463227163475e-14	0.065	8.60111046481344e+41
7.17165075674036e-14	0.065	7.33058301094398e+41
7.38829307809715e-14	0.065	7.55202638210885e+41
